iter	Passed	Remaining
400	21376	5277
401	21457	5230
402	21507	5176
403	21559	5123
404	21616	5070
405	21671	5017
406	21713	4961
407	21766	4908
408	21839	4859
409	21897	4806
410	21952	4753
411	22009	4700
412	22061	4647
413	22113	4593
414	22162	4539
415	22197	4482
416	22240	4426
417	22297	4374
418	22356	4321
419	22410	4268
420	22471	4216
421	22527	4163
422	22578	4110
423	22624	4055
424	22663	3999
425	22702	3943
426	22751	3889
427	22794	3834
428	22835	3779
429	22883	3725
430	22934	3671
431	22989	3618
432	23051	3566
433	23092	3511
434	23145	3458
435	23192	3404
436	23249	3351
437	23298	3297
438	23344	3243
439	23392	3189
440	23431	3134
441	23465	3079
442	23503	3024
443	23557	2971
444	23600	2916
445	23641	2862
446	23683	2808
447	23732	2754
448	23786	2701
449	23841	2649
450	23887	2595
451	23935	2541
452	23986	2488
453	24043	2436
454	24092	2382
455	24137	2329
456	24190	2276
457	24243	2223
458	24304	2170
459	24351	2117
460	24405	2064
461	24447	2010
462	24488	1956
463	24542	1904
464	24588	1850
465	24634	1797
466	24682	1744
467	24732	1691
468	24785	1638
469	24839	1585
470	24897	1532
471	24946	1479
472	24983	1426
473	25031	1373
474	25076	1319
475	25126	1266
476	25180	1214
477	25254	1162
478	25298	1109
479	25358	1056
480	25407	1003
481	25453	950
482	25504	897
483	25547	844
484	25600	791
485	25663	739
486	25711	686
487	25774	633
488	25824	580
489	25877	528
490	25932	475
491	25965	422
492	26016	369
493	26067	316
494	26108	263
495	26173	211
496	26215	158
497	26260	105
498	26302	52
499	26350	0
